Transaction_ID,Transaction_Date,Region,Province,City,Sales_Channel,Distributor_Name,Outlet_ID,Outlet_Type,Salesperson_ID,Product_Category,Product_Name,SKU_Code,Unit_Price,Quantity_Sold,Gross_Sales,Discount_Percent,Discount_Amount,Net_Sales,Promotion_Type,Return_Flag,Payment_Method,Delivery_Time_Days
TRX2021648727,29/12/2021,Semarang,Central Java,Semarang,Modern Trade,PT Global Snack Dist,OUT9361,Online Store,SP561,Beverages,Nutri Grain Drink,SKU56533,41801,103,4305503,0.1885,811587.32,3493915.68,Retail Discount,No,Credit Term,6
TRX2021183114,2021-03-28,Bandung,West Java,Bandung,General Trade,PT Maju Jaya Distribusi,OUT1828,Traditional Store,SP362,Biscuits,Choco Delight Biscuit,SKU67140,48591,145,7045695,0.1338,942713.99,6102981.01,,No,Transfer,3
TRX2021134462,2021-06-23,Surabaya,East Java,Surabaya,Modern Trade,,OUT9301,Minimarket,SP598,Biscuits,Golden Cream Biscuit,SKU70561,25207,79,1991353,0.2114,420972.02,1570380.98,,No,Transfer,14
TRX2021906458,2021-07-10,Makassar,South Sulawesi,Makassar,E-commerce,PT Global Snack Dist,OUT3966,Supermarket,SP789,Beverages, Energy Cocoa Drink ,SKU35880,2083,9,18747,0.2175,4077.47,14669.53,Retail Discount,No,Transfer,10
TRX2021176708,2021-04-12,Medan,North Sumatra,Medan,Modern Trade,,OUT9678,Traditional Store,SP688,Nuts, Spicy Peanut Mix ,SKU83260,10921,108,1179468,0.1137,134105.51,1045362.49,Bundle Promo,No,Cash,13
TRX2021427804,09/11/2021,Surabaya,East Java,Surabaya,E-commerce,PT Maju Jaya Distribusi,OUT7268,Traditional Store,SP268,Candy,Mint Pop Candy,SKU19989,39266,134,5261644,0.1109,583516.32,4678127.68,Seasonal Promo,No,Credit Term,5
TRX2021490486,2021-05-15,Palembang,South Sumatra,Palembang,Modern Trade,PT Sinar Distribusi,OUT8051,Traditional Store,SP971,Biscuits,Choco Delight Biscuit,SKU81827,48012,78,3744936,0.029,108603.14,3636332.86,,No,Credit Term,2
TRX2021690342,2021-05-10,Semarang,Central Java,Semarang,General Trade,PT Nusantara Supply,OUT5340,Traditional Store,SP432,Candy, Fruit Jelly Candy ,SKU51345,40372,1,40372,0.1532,6184.99,34187.01,Seasonal Promo,No,Cash,3
TRX2021935808,2021-05-09,Bandung,West Java,Bandung,E-commerce,PT Maju Jaya Distribusi,OUT6484,Traditional Store,SP205,Biscuits, Golden Cream Biscuit ,SKU80959,5296,104,550784,0.1377,75842.96,474941.04,Seasonal Promo,No,Credit Term,9
TRX2021812126,2021-01-16,Palembang,South Sumatra,Palembang,E-commerce,PT Global Snack Dist,OUT9895,Online Store,SP184,Biscuits,Choco Delight Biscuit,SKU61286,23290,83,1933070,0.2193,423922.25,1509147.75,Retail Discount,No,Cash,5
TRX2021614026,10/11/2021,Yogyakarta,DI Yogyakarta,Yogyakarta,Distributor,PT Global Snack Dist,OUT8851,Online Store,SP638,Snacks,Savory Chips,SKU70807,6731,162,1090422,0.0416,45361.56,1045060.44,Bundle Promo,No,Credit Term,10
TRX2021242540,2021-12-14,Surabaya,East Java,Surabaya,Distributor,PT Global Snack Dist,OUT8446,Minimarket,SP614,Snacks,Crunchy Bite,SKU31642,24595,89,2188955,0.2227,487480.28,1701474.72,Seasonal Promo,No,Cash,2
TRX2021196756,30/10/2021,Surabaya,East Java,Surabaya,General Trade,PT Nusantara Supply,OUT1482,Supermarket,SP801,Beverages,Choco Malt Drink,SKU13273,43821,142,6222582,0.0673,418779.77,5803802.23,Seasonal Promo,No,Cash,11
TRX2021762304,2021-02-15,Jakarta,DKI Jakarta,Jakarta,Distributor,PT Nusantara Supply,OUT1503,Traditional Store,SP447,Nuts, Honey Roasted Peanut ,SKU92412,34044,41,1395804,0.1725,240776.19,1155027.81,Seasonal Promo,No,Cash,1
TRX2021201312,02/03/2021,Semarang,Central Java,Semarang,Distributor,PT Sinar Distribusi,OUT8935,Online Store,SP233,Nuts,Spicy Peanut Mix,SKU91274,18549,22,408078,0.1068,43582.73,364495.27,Bundle Promo,No,Cash,3
TRX2021880984,2021-01-30,Semarang,Central Java,Semarang,E-commerce,PT Global Snack Dist,OUT5840,Supermarket,SP457,Biscuits,Butter Crunch Biscuit,SKU37039,5258,111,583638,0.0793,46282.49,537355.51,Bundle Promo,No,Credit Term,9
TRX2021411061,26/05/2021,Jakarta,DKI Jakarta,Jakarta,Distributor,PT Maju Jaya Distribusi,OUT5315,Minimarket,SP258,Candy,Mint Pop Candy,SKU51624,37821,191,7223811,0.2251,1626079.86,5597731.14,Retail Discount,No,Cash,6
TRX2021881449,2021-11-29,Medan,North Sumatra,Medan,Modern Trade,PT Global Snack Dist,OUT6655,Minimarket,SP557,Nuts,Honey Roasted Peanut,SKU50741,46026,102,4694652,0.1695,795743.51,3898908.49,,No,Cash,11
TRX2021743150,2021-10-24,Medan,North Sumatra,Medan,E-commerce,PT Sinar Distribusi,OUT8460,Online Store,SP112,Biscuits,Butter Crunch Biscuit,SKU20725,11879,140,1663060,0.0919,152835.21,1510224.79,Bundle Promo,No,Cash,6
TRX2021555155,2021-09-26,Jakarta,DKI Jakarta,Jakarta,General Trade,PT Sinar Distribusi,OUT1150,Traditional Store,SP548,Beverages, Nutri Grain Drink ,SKU92534,27675,74,2047950,0.2174,445224.33,1602725.67,Seasonal Promo,No,Cash,10
TRX2021790998,2021-09-25,Semarang,Central Java,Semarang,Modern Trade,PT Global Snack Dist,OUT4794,Minimarket,SP441,Snacks,Crunchy Bite,SKU22452,48633,93,4522869,0.0442,199910.81,4322958.19,,No,Credit Term,7
TRX2021671169,10/06/2021,Jakarta,DKI Jakarta,Jakarta,Modern Trade,PT Maju Jaya Distribusi,OUT7766,Supermarket,SP244,Candy,Caramel Drop Candy,SKU72497,33958,26,882908,0.2444,215782.72,667125.28,None,No,Credit Term,14
TRX2021816886,25/03/2021,Palembang,South Sumatra,Palembang,E-commerce,,OUT8706,Minimarket,SP808,Beverages,Choco Malt Drink,SKU37568,28672,180,5160960,0.0705,363847.68,4797112.32,None,No,Cash,13
TRX2021726126,2021-12-16,Makassar,South Sulawesi,Makassar,Modern Trade,PT Nusantara Supply,OUT7535,Traditional Store,SP590,Beverages,Energy Cocoa Drink,SKU29415,30790,133,4095070,0.03,122852.1,3972217.9,Seasonal Promo,No,Credit Term,13
TRX2021981991,28/06/2021,Makassar,South Sulawesi,Makassar,E-commerce,PT Nusantara Supply,OUT9966,Supermarket,SP326,Nuts, Spicy Peanut Mix ,SKU61127,28921,29,838709,0.1644,137883.76,700825.24,Retail Discount,Yes,Cash,9
TRX2021165959,04/04/2021,Medan,North Sumatra,Medan,Modern Trade,PT Maju Jaya Distribusi,OUT1833,Minimarket,SP619,Nuts,Spicy Peanut Mix,SKU22702,32804,112,3674048,0.0766,281432.08,3392615.92,Seasonal Promo,No,Transfer,6
TRX2021513740,2021-04-21,Medan,North Sumatra,Medan,General Trade,PT Global Snack Dist,OUT5738,Minimarket,SP665,Candy,Fruit Jelly Candy,SKU85537,18705,86,1608630,0.1108,178236.2,1430393.8,Retail Discount,No,Cash,5
TRX2021567696,14/08/2021,Makassar,South Sulawesi,Makassar,Modern Trade,PT Maju Jaya Distribusi,OUT9326,Supermarket,SP818,Biscuits,Choco Delight Biscuit,SKU70601,15817,121,1913857,0.2275,435402.47,1478454.53,Bundle Promo,No,Credit Term,6
TRX2021716174,26/10/2021,Makassar,South Sulawesi,Makassar,General Trade,PT Nusantara Supply,OUT9904,Traditional Store,SP546,Nuts, Salted Cashew Mix ,SKU32279,17302,14,242228,0.1688,40888.09,201339.91,None,No,Transfer,9
TRX2021663548,26/08/2021,Semarang,Central Java,Semarang,Modern Trade,PT Nusantara Supply,OUT4152,Supermarket,SP373,Nuts,Honey Roasted Peanut,SKU17796,36858,37,1363746,0.0879,119873.27,1243872.73,Bundle Promo,No,Cash,1
TRX2021749623,2021-07-05,Jakarta,DKI Jakarta,Jakarta,General Trade,PT Maju Jaya Distribusi,OUT3357,Supermarket,SP147,Nuts,Honey Roasted Peanut,SKU58277,43372,137,5941964,0.061,362459.8,5579504.2,Bundle Promo,No,Transfer,8
TRX2021879584,17/02/2021,Yogyakarta,DI Yogyakarta,Yogyakarta,Distributor,PT Nusantara Supply,OUT9883,Traditional Store,SP605,Biscuits,Golden Cream Biscuit,SKU54722,33773,25,844325,0.115,97097.38,747227.62,,No,Transfer,8
TRX2021672907,2021-05-11,Medan,North Sumatra,Medan,General Trade,PT Maju Jaya Distribusi,OUT7835,Supermarket,SP425,Snacks,Savory Chips,SKU11608,39334,83,3264722,0.2254,735868.34,2528853.66,Retail Discount,No,Credit Term,7
TRX2021393388,13/09/2021,Yogyakarta,DI Yogyakarta,Yogyakarta,E-commerce,PT Nusantara Supply,OUT2412,Online Store,SP559,Biscuits,Choco Delight Biscuit,SKU70856,45998,58,2667884,0.046,122722.66,2545161.34,Seasonal Promo,No,Cash,4
TRX2021247989,2021-05-16,Semarang,Central Java,Semarang,General Trade,PT Nusantara Supply,OUT4275,Traditional Store,SP629,Snacks,Savory Chips,SKU31887,13717,61,836737,0.0371,31042.94,805694.06,,No,Transfer,2
TRX2021667419,2021-09-06,Jakarta,DKI Jakarta,Jakarta,Modern Trade,PT Sinar Distribusi,OUT2605,Traditional Store,SP249,Snacks, Spicy Curl ,SKU19041,44538,121,5389098,0.0301,162211.85,5226886.15,,No,Cash,1
TRX2021538726,2021-09-19,Palembang,South Sumatra,Palembang,Modern Trade,,OUT6646,Minimarket,SP123,Nuts,Salted Cashew Mix,SKU92703,48663,43,2092509,0.1986,415572.29,1676936.71,Seasonal Promo,No,Cash,4
TRX2021938871,2021-02-19,Makassar,South Sulawesi,Makassar,General Trade,PT Global Snack Dist,OUT2176,Online Store,SP730,Biscuits,Butter Crunch Biscuit,SKU81853,42407,131,5555317,0.0933,518311.08,5037005.92,Retail Discount,No,Cash,13
TRX2021265987,2021-05-10,Yogyakarta,DI Yogyakarta,Yogyakarta,Distributor,PT Nusantara Supply,OUT2223,Traditional Store,SP667,Candy,Fruit Jelly Candy,SKU42536,27792,50,1389600,0.2371,329474.16,1060125.84,,No,Credit Term,1
TRX2021959839,16/06/2021,Bandung,West Java,Bandung,Distributor,PT Global Snack Dist,OUT3444,Minimarket,SP775,Nuts,Honey Roasted Peanut,SKU48831,30297,109,3302373,0.0217,71661.49,3230711.51,,No,Cash,10
TRX2021543568,2021-12-28,Medan,North Sumatra,Medan,Distributor,,OUT6483,Online Store,SP194,Candy,Mint Pop Candy,SKU51392,29833,134,3997622,0.0297,118729.37,3878892.63,Bundle Promo,No,Credit Term,3
TRX2021408154,2021-05-14,Yogyakarta,DI Yogyakarta,Yogyakarta,Distributor,,OUT4357,Supermarket,SP675,Beverages,Energy Cocoa Drink,SKU25438,33018,137,4523466,0.2394,1082917.76,3440548.24,Retail Discount,No,Credit Term,14
TRX2021561743,2021-09-28,Semarang,Central Java,Semarang,Distributor,,OUT6557,Online Store,SP959,Snacks,Spicy Curl,SKU87059,45750,125,5718750,0.1383,790903.12,4927846.88,None,No,Cash,9
TRX2021867033,20/02/2021,Yogyakarta,DI Yogyakarta,Yogyakarta,E-commerce,,OUT1166,Traditional Store,SP571,Biscuits,Golden Cream Biscuit,SKU17036,5530,194,1072820,0.023,24674.86,1048145.14,Retail Discount,No,Cash,1
TRX2021844712,2021-10-03,Makassar,South Sulawesi,Makassar,E-commerce,PT Nusantara Supply,OUT4934,Minimarket,SP747,Biscuits,Golden Cream Biscuit,SKU92145,33416,170,5680720,0.0867,492518.42,5188201.58,,No,Transfer,5
TRX2021931783,2021-04-08,Jakarta,DKI Jakarta,Jakarta,Modern Trade,,OUT3292,Minimarket,SP238,Candy, Mint Pop Candy ,SKU43468,18998,117,2222766,0.0253,56235.98,2166530.02,None,No,Credit Term,3
TRX2021716167,2021-05-09,Makassar,South Sulawesi,Makassar,Distributor,PT Maju Jaya Distribusi,OUT5022,Online Store,SP430,Snacks,Crunchy Bite,SKU60318,31863,100,3186300,0.1806,575445.78,2610854.22,Retail Discount,No,Credit Term,7
TRX2021181443,2021-04-11,Surabaya,East Java,Surabaya,Modern Trade,PT Global Snack Dist,OUT9938,Supermarket,SP537,Biscuits,Butter Crunch Biscuit,SKU52243,13963,103,1438189,0.0584,83990.24,1354198.76,Seasonal Promo,Yes,Credit Term,4
TRX2021632197,2021-09-03,Bandung,West Java,Bandung,Modern Trade,PT Maju Jaya Distribusi,OUT4056,Traditional Store,SP777,Candy,Fruit Jelly Candy,SKU96062,29483,167,4923661,0.0848,417526.45,4506134.55,Retail Discount,No,Cash,5
TRX2021965511,26/06/2021,Jakarta,DKI Jakarta,Jakarta,E-commerce,PT Global Snack Dist,OUT4997,Online Store,SP744,Candy,Caramel Drop Candy,SKU88329,32998,175,5774650,0.1662,959746.83,4814903.17,None,No,Cash,3
TRX2021964064,17/05/2021,Bandung,West Java,Bandung,General Trade,PT Sinar Distribusi,OUT5256,Supermarket,SP392,Biscuits,Choco Delight Biscuit,SKU41802,29536,176,5198336,0.189,982485.5,4215850.5,Seasonal Promo,No,Cash,10
TRX2021782599,24/04/2021,Bandung,West Java,Bandung,Modern Trade,PT Maju Jaya Distribusi,OUT4758,Supermarket,SP403,Nuts,Salted Cashew Mix,SKU62834,29990,59,1769410,0.216,382192.56,1387217.44,,No,Cash,9
TRX2021423756,13/11/2021,Medan,North Sumatra,Medan,Distributor,PT Global Snack Dist,OUT5416,Minimarket,SP690,Beverages,Energy Cocoa Drink,SKU59315,8875,114,1011750,0.0871,88123.43,923626.57,None,No,Transfer,14
TRX2021477557,2021-10-08,Bandung,West Java,Bandung,Modern Trade,PT Nusantara Supply,OUT2757,Online Store,SP996,Candy,Fruit Jelly Candy,SKU28233,13357,95,1268915,0.2009,254925.02,1013989.98,Retail Discount,No,Credit Term,2
TRX2021976496,2021-04-27,Bandung,West Java,Bandung,Modern Trade,PT Nusantara Supply,OUT2942,Traditional Store,SP935,Nuts,Salted Cashew Mix,SKU27642,46683,25,1167075,0.0765,89281.24,1077793.76,Seasonal Promo,No,Cash,4
TRX2021218908,2021-10-13,Bandung,West Java,Bandung,Distributor,PT Nusantara Supply,OUT9386,Minimarket,SP997,Biscuits, Butter Crunch Biscuit ,SKU24141,42903,151,6478353,0.1764,1142781.47,5335571.53,Bundle Promo,No,Cash,10
TRX2021459904,03/07/2021,Makassar,South Sulawesi,Makassar,Distributor,PT Maju Jaya Distribusi,OUT3604,Online Store,SP140,Biscuits,Choco Delight Biscuit,SKU49118,5556,41,227796,0.2189,49864.54,177931.46,,No,Cash,8
TRX2021301290,02/07/2021,Medan,North Sumatra,Medan,General Trade,PT Sinar Distribusi,OUT3246,Supermarket,SP183,Candy,Caramel Drop Candy,SKU13964,3679,27,99333,0.1595,15843.61,83489.39,Seasonal Promo,No,Cash,5
TRX2021435749,2021-06-29,Semarang,Central Java,Semarang,General Trade,PT Sinar Distribusi,OUT2917,Traditional Store,SP278,Beverages,Nutri Grain Drink,SKU71813,25152,47,1182144,0.0876,103555.81,1078588.19,,No,Cash,7
TRX2021706643,2021-04-21,Bandung,West Java,Bandung,E-commerce,PT Sinar Distribusi,OUT2707,Online Store,SP829,Beverages,Choco Malt Drink,SKU10201,34867,21,732207,0.2108,154349.24,577857.76,Bundle Promo,No,Transfer,11
TRX2021490778,07/05/2021,Palembang,South Sumatra,Palembang,Modern Trade,,OUT4258,Online Store,SP645,Snacks,Spicy Curl,SKU85771,8593,155,1331915,0.1218,162227.25,1169687.75,Retail Discount,No,Transfer,11
TRX2021649795,11/02/2021,Bandung,West Java,Bandung,Modern Trade,PT Global Snack Dist,OUT6973,Supermarket,SP769,Beverages,Choco Malt Drink,SKU87403,15982,45,719190,0.0155,11147.44,708042.56,Retail Discount,No,Transfer,4
TRX2021883354,06/05/2021,Semarang,Central Java,Semarang,E-commerce,PT Sinar Distribusi,OUT1715,Online Store,SP541,Nuts,Spicy Peanut Mix,SKU97587,5783,13,75179,0.1423,10697.97,64481.03,,No,Credit Term,14
TRX2021507133,2021-01-27,Bandung,West Java,Bandung,E-commerce,PT Maju Jaya Distribusi,OUT5347,Supermarket,SP386,Nuts,Salted Cashew Mix,SKU34190,38970,126,4910220,0.0293,143869.45,4766350.55,None,No,Credit Term,6
TRX2021959856,01/08/2021,Surabaya,East Java,Surabaya,Modern Trade,PT Sinar Distribusi,OUT3269,Online Store,SP768,Snacks, Spicy Curl ,SKU12732,12594,150,1889100,0.1997,377253.27,1511846.73,,No,Credit Term,7
TRX2021913389,2021-01-06,Yogyakarta,DI Yogyakarta,Yogyakarta,E-commerce,PT Sinar Distribusi,OUT4844,Supermarket,SP912,Candy,Mint Pop Candy,SKU12738,35627,57,2030739,0.099,201043.16,1829695.84,Bundle Promo,No,Cash,4
TRX2021733480,04/08/2021,Bandung,West Java,Bandung,E-commerce,PT Sinar Distribusi,OUT2741,Supermarket,SP197,Nuts,Honey Roasted Peanut,SKU57939,25482,83,2115006,0.2214,468262.33,1646743.67,,Yes,Transfer,1
TRX2021816886,08/02/2021,Makassar,South Sulawesi,Makassar,Distributor,PT Global Snack Dist,OUT4454,Online Store,SP172,Candy,Mint Pop Candy,SKU80693,13807,80,1104560,0.0168,18556.61,1086003.39,,No,Transfer,8
TRX2021666475,2021-03-26,Bandung,West Java,Bandung,Modern Trade,PT Nusantara Supply,OUT2839,Traditional Store,SP529,Biscuits,Butter Crunch Biscuit,SKU81175,35067,3,105201,0.2394,25185.12,80015.88,,No,Transfer,13
TRX2021510643,2021-04-19,Makassar,South Sulawesi,Makassar,Distributor,PT Nusantara Supply,OUT1780,Minimarket,SP355,Candy,Fruit Jelly Candy,SKU32003,49142,11,540562,0.0118,6378.63,534183.37,,No,Transfer,12
TRX2021689328,2021-06-28,Palembang,South Sumatra,Palembang,Modern Trade,PT Maju Jaya Distribusi,OUT2505,Online Store,SP964,Beverages,Choco Malt Drink,SKU93784,36685,99,3631815,0.168,610144.92,3021670.08,Bundle Promo,No,Transfer,6
TRX2021550469,01/09/2021,Jakarta,DKI Jakarta,Jakarta,Modern Trade,PT Nusantara Supply,OUT3534,Minimarket,SP162,Beverages,Choco Malt Drink,SKU59036,2518,172,433096,0.0082,3551.39,429544.61,Seasonal Promo,No,Credit Term,10
TRX2021369321,20/08/2021,Surabaya,East Java,Surabaya,Distributor,PT Global Snack Dist,OUT2921,Online Store,SP384,Snacks,Crunchy Bite,SKU46512,34641,136,4711176,0.207,975213.43,3735962.57,None,No,Transfer,12
TRX2021679082,2021-02-05,Semarang,Central Java,Semarang,Distributor,PT Maju Jaya Distribusi,OUT4522,Supermarket,SP272,Beverages,Nutri Grain Drink,SKU89053,37424,3,112272,0.071,7971.31,104300.69,Bundle Promo,No,Cash,9
TRX2021354619,08/05/2021,Surabaya,East Java,Surabaya,E-commerce,PT Nusantara Supply,OUT5085,Online Store,SP806,Beverages,Choco Malt Drink,SKU35412,43161,97,4186617,0.1249,522908.46,3663708.54,Bundle Promo,No,Transfer,2
TRX2021881132,05/08/2021,Makassar,South Sulawesi,Makassar,General Trade,PT Maju Jaya Distribusi,OUT7360,Traditional Store,SP214,Beverages,Nutri Grain Drink,SKU56274,26876,83,2230708,0.0554,123581.22,2107126.78,Retail Discount,No,Credit Term,8
TRX2021756989,2021-08-31,Semarang,Central Java,Semarang,Distributor,PT Sinar Distribusi,OUT6581,Supermarket,SP548,Beverages,Choco Malt Drink,SKU66365,29853,25,746325,0.0366,27315.49,719009.51,Retail Discount,No,Cash,9
TRX2021239287,2021-02-16,Jakarta,DKI Jakarta,Jakarta,E-commerce,PT Maju Jaya Distribusi,OUT2334,Traditional Store,SP544,Beverages,Energy Cocoa Drink,SKU94467,43707,115,5026305,0.1288,647388.08,4378916.92,Seasonal Promo,No,Cash,1
TRX2021654411,2021-03-28,Medan,North Sumatra,Medan,E-commerce,PT Sinar Distribusi,OUT7046,Minimarket,SP731,Beverages,Nutri Grain Drink,SKU78131,41546,134,5567164,0.0444,247182.08,5319981.92,Retail Discount,No,Cash,7
TRX2021304764,2021-09-18,Yogyakarta,DI Yogyakarta,Yogyakarta,E-commerce,PT Global Snack Dist,OUT7190,Online Store,SP755,Candy,Caramel Drop Candy,SKU45971,23477,94,2206838,0.23,507572.74,1699265.26,Seasonal Promo,No,Cash,3
TRX2021516001,18/01/2021,Semarang,Central Java,Semarang,General Trade,PT Sinar Distribusi,OUT8542,Online Store,SP771,Candy,Caramel Drop Candy,SKU95693,28144,102,2870688,0.1537,441224.75,2429463.25,,No,Transfer,2
TRX2021533053,2021-10-25,Surabaya,East Java,Surabaya,Distributor,PT Maju Jaya Distribusi,OUT6634,Traditional Store,SP368,Candy,Fruit Jelly Candy,SKU48607,27791,5,138955,0.1658,23038.74,115916.26,None,No,Cash,1
TRX2021816886,2021-08-30,Makassar,South Sulawesi,Makassar,E-commerce,PT Sinar Distribusi,OUT9612,Supermarket,SP112,Biscuits,Golden Cream Biscuit,SKU96972,22577,181,4086437,0.097,396384.39,3690052.61,,Yes,Transfer,13
TRX2021857599,2021-03-31,Palembang,South Sumatra,Palembang,Distributor,PT Global Snack Dist,OUT3559,Traditional Store,SP311,Beverages,Nutri Grain Drink,SKU60217,9851,152,1497352,0.2089,312796.83,1184555.17,None,No,Transfer,4
TRX2021306530,03/01/2021,Surabaya,East Java,Surabaya,Modern Trade,PT Global Snack Dist,OUT2325,Online Store,SP920,Snacks,Crunchy Bite,SKU36247,37366,79,2951914,0.0467,137854.38,2814059.62,,No,Credit Term,8
TRX2021178809,25/06/2021,Makassar,South Sulawesi,Makassar,Distributor,PT Nusantara Supply,OUT8268,Online Store,SP653,Beverages,Choco Malt Drink,SKU38532,5013,94,471222,0.0027,1272.3,469949.7,None,No,Credit Term,10
TRX2021441253,14/07/2021,Medan,North Sumatra,Medan,E-commerce,PT Maju Jaya Distribusi,OUT6803,Supermarket,SP509,Beverages,Energy Cocoa Drink,SKU99690,34363,68,2336684,0.2298,536969.98,1799714.02,Retail Discount,Yes,Cash,14
TRX2021677308,21/05/2021,Makassar,South Sulawesi,Makassar,Modern Trade,PT Maju Jaya Distribusi,OUT4484,Online Store,SP276,Beverages, Nutri Grain Drink ,SKU38449,33277,152,5058104,0.0074,37429.97,5020674.03,None,No,Credit Term,1
TRX2021518230,08/04/2021,Surabaya,East Java,Surabaya,General Trade,PT Nusantara Supply,OUT9199,Traditional Store,SP515,Candy,Caramel Drop Candy,SKU15909,29976,124,3717024,0.1441,535623.16,3181400.84,None,No,Credit Term,2
TRX2021576811,14/09/2021,Yogyakarta,DI Yogyakarta,Yogyakarta,Modern Trade,PT Nusantara Supply,OUT2648,Online Store,SP333,Biscuits,Butter Crunch Biscuit,SKU45660,41055,117,4803435,0.1229,590342.16,4213092.84,,No,Cash,12
TRX2021186580,2021-03-19,Bandung,West Java,Bandung,General Trade,PT Nusantara Supply,OUT9163,Online Store,SP830,Beverages,Energy Cocoa Drink,SKU52839,29066,77,2238082,0.0173,38718.82,2199363.18,Bundle Promo,No,Transfer,1
TRX2021518889,05/12/2021,Jakarta,DKI Jakarta,Jakarta,Distributor,PT Maju Jaya Distribusi,OUT1291,Online Store,SP751,Beverages,Energy Cocoa Drink,SKU72889,20547,134,2753298,0.0731,201266.08,2552031.92,None,No,Transfer,2
TRX2021798627,13/05/2021,Semarang,Central Java,Semarang,Modern Trade,,OUT7190,Supermarket,SP518,Biscuits, Choco Delight Biscuit ,SKU59003,42683,33,1408539,0.0861,121275.21,1287263.79,Retail Discount,No,Transfer,3
TRX2021721103,27/11/2021,Makassar,South Sulawesi,Makassar,Modern Trade,PT Maju Jaya Distribusi,OUT5346,Online Store,SP144,Beverages,Choco Malt Drink,SKU20134,42153,145,6112185,0.0423,258545.43,5853639.57,None,No,Credit Term,8
TRX2021579952,2021-11-29,Surabaya,East Java,Surabaya,Modern Trade,PT Sinar Distribusi,OUT5147,Minimarket,SP503,Beverages,Choco Malt Drink,SKU35571,28834,146,4209764,0.1241,522431.71,3687332.29,Retail Discount,No,Transfer,11
TRX2021241151,2021-03-17,Bandung,West Java,Bandung,Modern Trade,PT Maju Jaya Distribusi,OUT2320,Supermarket,SP604,Snacks,Savory Chips,SKU44583,27499,156,4289844,0.2451,1051440.76,3238403.24,Seasonal Promo,Yes,Cash,2
TRX2021479038,03/11/2021,Palembang,South Sumatra,Palembang,Distributor,,OUT7508,Minimarket,SP309,Nuts,Salted Cashew Mix,SKU91499,26597,133,3537401,0.0843,298202.9,3239198.1,,No,Credit Term,7
TRX2021647802,12/11/2021,Yogyakarta,DI Yogyakarta,Yogyakarta,Modern Trade,,OUT1373,Minimarket,SP911,Beverages,Energy Cocoa Drink,SKU18660,11329,156,1767324,0.0279,49308.34,1718015.66,Bundle Promo,No,Credit Term,13
